timeframe,date_from,date_to,bars_count,price_start,price_end,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,exit_mode,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,35.1001,151.0993,1298386.8409,7389.0126,3.1824,0.7699,7.3937,113,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=30,bb_std=2.5)",1.0000,29.4904,6,0.9603,0.2500,0.2000,0.1499,0.1500,0.0637,0.1000,0.0467,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,25.5651,60.8944,1435.6711,19334.2455,26.7640,0.7092,2.6887,392,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=20,bb_std=1.5)",1.0000,33.0850,6,0.9603,0.2500,0.2000,0.1214,0.1500,0.0989,0.1000,0.0399,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,21.8103,50.7527,299474.4133,12653.3239,14.9711,0.6807,3.8153,166,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=20,bb_std=2)",1.0000,23.4407,7,0.9602,0.2500,0.2000,0.1431,0.1500,0.0803,0.1000,0.0367,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,23.9609,60.8569,8368.1139,12444.0220,21.3765,0.6923,2.8972,234,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=15,bb_std=2)",1.0000,33.4254,6,0.9574,0.2500,0.2000,0.1279,0.1500,0.0915,0.1000,0.0380,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,37.7567,139.4499,3458175.0060,8745.4641,6.3846,0.7477,7.8982,111,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=30,bb_std=2.5)",1.0000,27.1461,5,0.9571,0.2500,0.2000,0.1500,0.1500,0.0629,0.1000,0.0442,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,28.3680,82.5289,313735.7479,17843.5198,9.6526,0.7037,5.7706,216,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=15,bb_std=2)",0.8571,22.7821,7,0.9567,0.2500,0.2000,0.1495,0.1286,0.0894,0.1000,0.0393,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,27.2710,73.3120,82573.4903,5476.5168,6.0113,0.7748,4.3433,111,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=20,bb_std=2.5)",1.0000,23.9931,7,0.9567,0.2500,0.2000,0.1466,0.1500,0.0629,0.1000,0.0472,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,38.6981,160.0724,203709697.8305,11986.8738,4.5688,0.7570,9.4402,107,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=80,bb_period=20,bb_std=2)",1.0000,28.3656,8,0.9565,0.2500,0.2000,0.1500,0.1500,0.0613,0.1000,0.0452,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,48.1927,509.0565,308008359.3812,9685.2790,1.5388,0.9167,33.3313,96,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=80,bb_period=15,bb_std=2)",1.0000,35.3721,7,0.9565,0.2500,0.2000,0.1500,0.1500,0.0565,0.1000,0.0500,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,30.7374,101.8538,1400066.7949,7089.7597,7.2427,0.7822,5.9078,101,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=30,bb_std=2.5)",1.0000,35.5799,7,0.9563,0.2500,0.2000,0.1496,0.1500,0.0587,0.1000,0.0480,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,38.0702,132.0363,4399437.2408,8426.5891,6.3135,0.7547,7.2385,106,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=30,bb_std=2.5)",1.0000,26.1948,7,0.9558,0.2500,0.2000,0.1499,0.1500,0.0609,0.1000,0.0450,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,19.8861,45.6577,58113.3042,19227.3181,13.5692,0.6654,4.0758,260,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=70,bb_period=20,bb_std=2)",0.8750,15.8264,8,0.9553,0.2500,0.2000,0.1451,0.1313,0.0939,0.1000,0.0350,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,35.5355,145.3475,2107108.5362,8193.6816,5.8140,0.7297,7.4701,111,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=30,bb_std=2.5)",1.0000,28.5420,6,0.9551,0.2500,0.2000,0.1499,0.1500,0.0629,0.1000,0.0422,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,19.9073,44.7876,66801.0374,12873.9287,17.3893,0.6406,3.3226,192,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=30,bb_std=2)",1.0000,22.9425,6,0.9550,0.2500,0.2000,0.1370,0.1500,0.0856,0.1000,0.0323,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,53.2502,247.8129,189657684296.6233,15820.6083,5.2437,0.8778,12.0593,90,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=80,bb_period=15,bb_std=2)",1.0000,48.0083,7,0.9537,0.2500,0.2000,0.1500,0.1500,0.0537,0.1000,0.0500,0.0000,-1.0000,0.0000
