timeframe,date_from,date_to,bars_count,price_start,price_end,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,exit_mode,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.2517,11.7793,22.3610,8172.4179,13.1460,0.6147,3.0390,109,ema_cross,"ema_crossover(fast=13,slow=55,adx_min=25)",1.0000,7.8928,5,0.9024,0.2424,0.1955,0.1314,0.1500,0.0621,0.0916,0.0294,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,5.8147,11.2437,15.6592,11727.3825,11.3313,0.6263,2.7499,190,ema_cross,"ema_crossover(fast=8,slow=34,adx_min=20)",1.0000,5.0220,6,0.9022,0.2398,0.1833,0.1235,0.1500,0.0853,0.0896,0.0307,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,9.8707,42.3783,188.3333,12647.9127,3.2208,0.5619,7.7693,105,ema_cross,"ema_crossover(fast=21,slow=55,adx_min=25)",0.8000,4.6143,5,0.9018,0.2493,0.2000,0.1500,0.1200,0.0604,0.0986,0.0235,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.2286,12.2180,27.9018,8020.5083,10.9913,0.6286,2.9064,105,ema_cross,"ema_crossover(fast=21,slow=55,adx_min=15)",1.0000,5.2551,6,0.9017,0.2423,0.1985,0.1281,0.1500,0.0604,0.0915,0.0310,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.4469,12.4960,34.1071,5874.9982,7.3398,0.6522,2.8906,92,signal_cross,"macd(fast=16,slow=26,signal=12,trend=200)",1.0000,5.6704,5,0.9011,0.2433,0.1996,0.1277,0.1500,0.0546,0.0923,0.0336,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,5.2331,7.2842,36.0877,30271.5404,21.6428,0.7764,4.2323,161,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2.5)",0.7143,2.9957,7,0.9009,0.2352,0.1997,0.1460,0.1071,0.0791,0.0864,0.0474,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.6607,12.9620,40.1483,7647.0540,12.2576,0.6375,3.0865,80,ema_cross,"ema_crossover(fast=34,slow=55,adx_min=15)",1.0000,4.5862,4,0.9004,0.2442,0.1999,0.1325,0.1500,0.0488,0.0931,0.0319,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.3944,15.3089,134.6701,14830.6701,16.2878,0.7260,4.6524,73,channel_break,"keltner_breakout(ema=10,atr=30,atr_mult=2.8,atr_pct_min=0)",0.8000,5.3201,5,0.8998,0.2482,0.2000,0.1477,0.1200,0.0452,0.0970,0.0418,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,5.2943,15.4158,20.2266,5966.3078,4.5496,0.4831,3.2727,178,ema_cross,"ema_crossover(fast=5,slow=55,adx_min=25)",1.0000,6.7061,4,0.8996,0.2358,0.1931,0.1362,0.1500,0.0830,0.0868,0.0148,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.3513,12.3920,33.3379,5842.5070,7.3094,0.6452,2.8763,93,signal_cross,"macd(fast=12,slow=34,signal=12,trend=200)",1.0000,5.5266,5,0.8995,0.2429,0.1995,0.1273,0.1500,0.0551,0.0920,0.0328,0.0000,-1.0000,0.0000
